"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"30",0.364300656692505,0.207570012174593,0.128078026278502,0.100348966145931,0.0531101847793796,0.0313717802702063,0.0261509114520803,0.0280473858030537,0.00187063230054189,0.0228424609493466,0.0159558604551965,0.020353122698664
"31",0.374260434810148,0.205461500018043,0.133484578605121,0.104991251046565,0.0485803805807716,0.0271295979419809,0.02482992220977,0.0246170518848154,0.00872208446753946,0.0247011193646635,0.00816682085009858,0.015055258220484
"32",0.363636282685263,0.208234576151455,0.134509226460741,0.101671593011843,0.0507975848686763,0.0262412614088502,0.0368735432120527,0.0256404420729364,0.00791882738052511,0.0302645562853294,0.00537540039798881,0.00883670606433866
"33",0.366524493588528,0.213541875396448,0.133833195851631,0.10416233279604,0.0487476854959232,0.0331171446144632,0.0323030199237784,0.022732179549628,0.0106501802923897,0.0196180489719285,0,0.0147698435192411
"34",0.357073552579507,0.213867804690173,0.135894204017042,0.0932418331415168,0.0512805380120684,0.0410281836587072,0.032918889664121,0.0250413928682154,0.0129503416065799,0.0184109125451851,0,0.018292347216885
"35",0.349149826221987,0.211396121777369,0.135659213758686,0.0950888535392358,0.0507907537839669,0.0476273805219438,0.0260065953253754,0.0345652987480903,0.0067341914838837,0.0247265639499388,0.00302290920048628,0.0152322916890369
"36",0.346098965498039,0.219086049732028,0.13216854046852,0.0948232239377989,0.0530193909515359,0.0385400684462455,0.0295826563075829,0.0289505895905077,0.00791131242048941,0.0233797922404102,0.00285430044152697,0.023585109965316
"37",0.343626409405106,0.225105680870502,0.128722132504603,0.0941889089396644,0.0507455739757117,0.0369054116852488,0.0311344355168338,0.0323260757679523,0.00758410100417971,0.0232654400878673,0,0.026395830242332
"38",0.355230621152906,0.222349035520304,0.132159036808245,0.0873850918806754,0.0490271630098122,0.0362033221116725,0.0266482604631297,0.0305229578127603,0.00848781141290794,0.022289627789847,0.00783317008633722,0.0218639019514019
"39",0.358191912970581,0.239177772937663,0.129676235444556,0.0961466526172536,0.0479088986057,0.0308801194898089,0.0189863656004323,0.0306270702713636,0.00413630376196919,0.0272341698668766,0,0.0170344984337953
"40",0.361301634175699,0.245111942367236,0.131047597240867,0.0986308007009566,0.0462956699627651,0.0324442181797261,0.0116130500136113,0.0284538254697858,0.00537822316390972,0.0284823833670674,0,0.0112406553583763
